City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Maltahohe,NA,2021-02-07 22:29:53,-24.8333,16.9833,75.45,19,0,4.23
178,Salalah,OM,2021-02-07 22:29:53,17.0151,54.0924,71.6,73,75,5.75
179,Schwerin,DE,2021-02-07 22:29:53,53.6294,11.4132,25.0,67,100,18.01
180,Kavieng,PG,2021-02-07 22:29:53,-2.5744,150.7967,84.16,71,77,8.16
181,Barentu,ER,2021-02-07 22:29:53,15.1139,37.5928,50.67,90,0,2.42
182,Zhanakorgan,KZ,2021-02-07 22:29:53,43.9098,67.2495,39.24,90,100,11.74
183,Innisfail,AU,2021-02-07 22:29:53,-17.5333,146.0333,78.37,88,100,4.09
184,Rapid Valley,US,2021-02-07 22:29:54,44.0625,-103.1463,1.99,66,90,9.22
185,Pervomayskoye,RU,2021-02-07 22:29:54,43.919,46.7102,29.32,97,99,5.37
186,Sitka,US,2021-02-07 22:28:09,57.0531,-135.33,35.6,30,40,6.91
187,Hwange,ZW,2021-02-07 22:29:54,-18.3693,26.5019,69.75,89,100,1.68
188,Quelimane,MZ,2021-02-07 22:29:54,-17.8786,36.8883,76.62,88,81,0.74
189,Constitucion,CL,2021-02-07 22:29:55,-35.3333,-72.4167,63.91,73,2,7.78
190,Ambanja,MG,2021-02-07 22:29:55,-13.6833,48.45,74.59,86,96,2.59
191,Zhangzhou,CN,2021-02-07 22:29:55,24.5133,117.6556,62.6,88,0,2.24
192,Chuy,UY,2021-02-07 22:29:13,-33.6971,-53.4616,68.85,75,56,10.42
193,Ust-Tsilma,RU,2021-02-07 22:29:55,65.441,52.1498,-20.38,85,100,10.27
194,Nizhnedevitsk,RU,2021-02-07 22:29:56,51.5419,38.3657,5.0,78,0,13.42
195,Kupang,ID,2021-02-07 22:29:56,-10.1667,123.5833,75.2,100,40,2.3
196,Colac,AU,2021-02-07 22:29:56,-38.3333,143.5833,55.0,89,98,5.01
197,Hobart,AU,2021-02-07 22:28:21,-42.8794,147.3294,59.0,55,40,18.41
198,Kihei,US,2021-02-07 22:25:35,20.785,-156.4656,77.0,57,20,9.22
199,Zhangjiakou,CN,2021-02-07 22:26:10,40.81,114.8794,17.01,79,0,4.68
200,Lebu,CL,2021-02-07 22:29:56,-37.6167,-73.65,61.61,83,10,4.7
201,Narsaq,GL,2021-02-07 22:29:57,60.9167,-46.05,37.4,28,20,42.57
202,Russell,US,2021-02-07 22:29:57,32.3502,-85.1999,55.4,47,1,6.91
203,Saint-Georges,GD,2021-02-07 22:29:58,12.0564,-61.7485,80.6,74,40,13.8
204,Dikson,RU,2021-02-07 22:29:58,73.5069,80.5464,-32.1,85,90,16.71
205,Victoria,HK,2021-02-07 22:25:36,22.2855,114.1577,66.0,84,0,11.63
206,San Patricio,US,2021-02-07 22:29:59,28.017,-97.5169,71.6,43,75,18.41
207,Shaturtorf,RU,2021-02-07 22:29:59,55.5672,39.4169,-6.03,89,67,5.53
208,Rockhampton,AU,2021-02-07 22:29:59,-23.3833,150.5,80.6,78,90,6.91
209,Camacha,PT,2021-02-07 22:29:59,33.0833,-16.3333,60.8,88,75,18.41
210,Goundam,ML,2021-02-07 22:29:59,16.4145,-3.6708,72.99,19,100,10.38
211,Carnaiba,BR,2021-02-07 22:30:00,-8.7,-37.6667,84.76,26,83,6.58
212,Nouadhibou,MR,2021-02-07 22:30:00,20.931,-17.0347,64.4,72,0,19.57
213,Baton Rouge,US,2021-02-07 22:29:54,30.4508,-91.1545,62.01,48,1,3.44
214,Atlantic City,US,2021-02-07 22:26:58,39.3643,-74.4229,34.0,93,90,10.36
215,Saint-Augustin,CA,2021-02-07 22:30:01,51.226,-58.6502,21.45,92,10,16.26
216,Palmer,US,2021-02-07 22:30:01,42.1584,-72.3287,28.0,86,90,9.22
217,Richards Bay,ZA,2021-02-07 22:30:01,-28.783,32.0377,74.39,94,92,5.35
218,Lazi,UA,2021-02-07 22:30:02,48.0667,24.2333,39.51,75,100,3.02
219,Broome,US,2021-02-07 22:27:25,42.2506,-75.833,26.01,79,90,13.8
220,Zaysan,KZ,2021-02-07 22:30:02,47.4667,84.8667,21.65,89,74,0.58
221,Zhanaozen,KZ,2021-02-07 22:30:02,43.3,52.8,29.35,85,29,11.34
222,Lumeje,AO,2021-02-07 22:30:03,-11.55,20.7833,67.05,92,100,9.48
223,Svetlogorsk,BY,2021-02-07 22:30:03,52.6333,29.7333,5.18,93,98,5.64
224,Gorom-Gorom,BF,2021-02-07 22:30:03,14.4439,-0.2361,78.89,17,2,9.31
225,Nanortalik,GL,2021-02-07 22:30:03,60.1432,-45.2371,30.16,88,95,15.68
226,Goba,ET,2021-02-07 22:30:04,7.0167,39.9833,49.14,78,90,4.32
227,Pavlodar,KZ,2021-02-07 22:30:04,52.3,76.95,21.2,86,0,6.71
228,Ilulissat,GL,2021-02-07 22:30:02,69.2167,-51.1,21.2,42,0,16.11
229,Guerrero Negro,MX,2021-02-07 22:30:05,27.9769,-114.0611,73.56,25,0,12.77
230,Sur,OM,2021-02-07 22:30:06,22.5667,59.5289,63.84,73,0,4.03
231,General Roca,AR,2021-02-07 22:30:06,-39.0333,-67.5833,71.6,46,75,4.61
232,Gornoye Loo,RU,2021-02-07 22:30:06,43.7129,39.6049,48.2,81,75,8.95
233,Buala,SB,2021-02-07 22:30:07,-8.145,159.5921,84.63,74,78,9.19
234,Dehloran,IR,2021-02-07 22:30:07,32.6941,47.2679,56.26,72,0,0.96
235,Voyvozh,RU,2021-02-07 22:30:07,62.892,54.9635,-24.75,86,100,9.37
236,Cape Town,ZA,2021-02-07 22:27:12,-33.9258,18.4232,66.99,63,0,17.27
237,Eureka,US,2021-02-07 22:29:20,40.8021,-124.1637,55.0,73,3,5.99
238,Sisimiut,GL,2021-02-07 22:30:08,66.9395,-53.6735,24.21,79,19,11.99
239,Nikki,BJ,2021-02-07 22:30:08,9.9401,3.2108,76.39,21,79,3.76
240,La Ronge,CA,2021-02-07 22:27:57,55.1001,-105.2842,-25.6,56,1,10.36
241,Abalak,RU,2021-02-07 22:30:08,58.1286,68.5944,-3.23,89,100,11.1
242,Nalut,LY,2021-02-07 22:30:09,30.3333,10.85,57.92,35,0,16.22
243,Pitimbu,BR,2021-02-07 22:30:10,-7.4706,-34.8086,80.6,83,20,8.05
244,Fortuna,US,2021-02-07 22:25:43,40.5982,-124.1573,55.0,81,1,11.5
245,Port Hawkesbury,CA,2021-02-07 22:30:10,45.6169,-61.3485,28.0,54,90,4.61
246,Alofi,NU,2021-02-07 22:30:10,-19.0595,-169.9187,86.0,70,85,12.66
247,Santa Marinella,IT,2021-02-07 22:30:10,42.0345,11.8536,48.0,88,84,11.01
248,Alamos,MX,2021-02-07 22:30:11,27.0167,-108.9333,75.99,50,0,5.01
249,Menongue,AO,2021-02-07 22:30:11,-14.6585,17.691,65.73,89,100,3.98
250,Troitskoye,RU,2021-02-07 22:30:11,52.9821,84.6757,17.38,95,64,6.58
251,Castro,BR,2021-02-07 22:30:11,-24.7911,-50.0119,63.45,69,3,6.11
252,Kiama,AU,2021-02-07 22:30:12,-34.6833,150.8667,69.01,84,73,1.99
253,Waycross,US,2021-02-07 22:30:12,31.2136,-82.354,57.2,54,40,6.91
254,Kuldur,RU,2021-02-07 22:30:12,49.2167,131.6333,-15.48,85,42,7.31
255,Tilichiki,RU,2021-02-07 22:30:12,60.4667,166.1,13.57,96,100,14.5
256,Businga,CD,2021-02-07 22:30:12,3.3333,20.8833,71.06,32,90,1.34
257,Saldanha,ZA,2021-02-07 22:30:13,-33.0117,17.9442,62.6,72,0,17.27
258,Casa Nova,BR,2021-02-07 22:30:13,-9.4167,-41.1333,87.8,40,75,3.09
259,Tynda,RU,2021-02-07 22:30:13,55.1667,124.7167,-26.66,83,0,2.57
260,Dingzhou,CN,2021-02-07 22:27:08,38.5131,114.9956,19.4,79,0,2.24
261,Akdepe,TM,2021-02-07 22:30:13,42.0551,59.3788,44.6,81,0,6.91
262,Balkhash,KZ,2021-02-07 22:30:13,46.844,74.9804,33.08,97,100,12.91
263,Tambo,PE,2021-02-07 22:30:14,-14.8,-73.9167,40.55,100,99,7.25
264,Deputatskiy,RU,2021-02-07 22:30:14,69.3,139.9,-28.07,85,17,1.25
265,Kangaatsiaq,GL,2021-02-07 22:30:14,68.3065,-53.4641,19.69,86,0,18.41
266,Lom Sak,TH,2021-02-07 22:30:14,16.7798,101.2422,69.6,57,0,1.79
267,Den Helder,NL,2021-02-07 22:29:23,52.9599,4.7593,26.01,80,90,32.21
268,Hatillo,PR,2021-02-07 22:30:15,18.4863,-66.8254,82.0,66,25,4.0
269,Peleduy,RU,2021-02-07 22:30:15,59.6289,112.7406,15.57,95,100,7.81
270,Leshukonskoye,RU,2021-02-07 22:30:15,64.8989,45.7622,-21.64,87,100,7.4
271,Guarapari,BR,2021-02-07 22:30:15,-20.6667,-40.4975,70.0,94,90,3.44
272,Merauke,ID,2021-02-07 22:30:15,-8.4667,140.3333,81.93,82,98,10.71
273,Ayagoz,KZ,2021-02-07 22:30:15,47.9714,80.4392,30.0,97,99,4.34
274,San Matias,BO,2021-02-07 22:30:16,-16.3667,-58.4,79.27,50,59,3.22
275,Vao,NC,2021-02-07 22:30:16,-22.6667,167.4833,77.54,81,88,5.37
276,Faanui,PF,2021-02-07 22:30:16,-16.4833,-151.75,81.48,75,1,13.38
277,Semey,KZ,2021-02-07 22:30:16,50.4111,80.2275,28.74,94,54,13.85
278,Talcahuano,CL,2021-02-07 22:30:17,-36.7167,-73.1167,62.6,82,75,6.91
279,Muros,ES,2021-02-07 22:29:02,42.7762,-9.0603,54.0,91,100,5.01
280,Presidencia Roque Saenz Pena,AR,2021-02-07 22:26:51,-26.7852,-60.4388,87.78,24,0,6.44
281,Ixtapa,MX,2021-02-07 22:30:19,20.7,-105.2,75.2,69,1,13.8
282,Nago,JP,2021-02-07 22:30:20,26.5881,127.9761,60.8,93,1,4.61
283,Lorengau,PG,2021-02-07 22:30:20,-2.0226,147.2712,84.52,69,99,3.18
284,Ahipara,NZ,2021-02-07 22:30:20,-35.1667,173.1667,72.43,57,13,9.08
285,Dingle,PH,2021-02-07 22:28:55,10.9995,122.6711,75.61,92,100,8.99
286,Sinnamary,GF,2021-02-07 22:30:20,5.3833,-52.95,78.13,82,99,14.76
287,Tarsus,TR,2021-02-07 22:30:21,36.9188,34.8784,55.4,100,40,1.57
288,Falmouth,GB,2021-02-07 22:30:21,50.1544,-5.0711,37.0,69,90,24.16
289,San Lawrenz,MT,2021-02-07 22:30:21,36.0553,14.204,60.8,72,0,28.77
290,Puerto Montt,CL,2021-02-07 22:30:21,-41.4698,-72.9447,77.0,47,0,11.5
