City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Chuy,UY,-33.6971,-53.4616,65.55,82,58,8.25,light rain
201,Gizo,SB,-8.103,156.8419,84.7,74,53,9.62,light rain
202,Tiksi,RU,71.6872,128.8694,-29.4,86,49,5.19,scattered clouds
203,Beringovskiy,RU,63.05,179.3167,5.22,93,100,16.93,light snow
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.42,95,100,7.38,overcast clouds
205,Whitehorse,CA,60.7161,-135.0538,-0.99,78,90,4.61,light snow
206,Phan Thiet,VN,10.9333,108.1,73.33,80,63,6.29,broken clouds
207,Port Blair,IN,11.6667,92.75,76.95,81,12,12.44,few clouds
208,Cabo San Lucas,MX,22.8909,-109.9124,71.6,53,20,5.75,few clouds
209,Avarua,CK,-21.2078,-159.775,86.0,70,20,12.66,few clouds
210,Lahij,YE,13.1667,44.5833,69.01,74,9,1.88,clear sky
211,Saint-Augustin,CA,51.226,-58.6502,20.95,92,9,15.12,clear sky
212,Udachnyy,RU,66.4167,112.4,-27.47,83,92,5.55,overcast clouds
213,Benguela,AO,-12.5763,13.4055,76.42,73,99,1.81,overcast clouds
214,Smolenka,RU,52.1352,113.4974,-16.6,76,91,1.34,overcast clouds
215,Namatanai,PG,-3.6667,152.4333,85.19,68,96,4.9,light rain
216,Kodiak,US,57.79,-152.4072,35.6,55,1,3.44,clear sky
217,Ancud,CL,-41.8697,-73.8203,64.56,73,0,0.78,clear sky
218,Pangnirtung,CA,66.1451,-65.7125,26.98,77,0,11.52,clear sky
219,Henties Bay,NA,-22.116,14.2845,64.99,88,82,7.0,broken clouds
220,Boende,CD,-0.2167,20.8667,74.35,77,96,1.7,overcast clouds
221,Baiyin,CN,36.5583,104.2081,14.0,41,0,2.24,clear sky
222,Alugan,PH,12.2188,125.4808,79.52,86,100,18.81,overcast clouds
223,Yulara,AU,-25.2406,130.9889,82.4,24,0,16.11,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,59.0,67,90,13.8,overcast clouds
225,Ponta Do Sol,PT,32.6667,-17.1,57.99,75,42,4.0,scattered clouds
226,Chumikan,RU,54.7183,135.315,-7.04,84,100,24.05,overcast clouds
227,Biloxi,US,30.396,-88.8853,53.6,71,1,4.61,clear sky
228,Yatou,CN,37.15,122.3833,29.16,82,0,12.03,clear sky
229,Nanakuli,US,21.3906,-158.1547,78.8,44,20,8.05,few clouds
230,Cedar City,US,37.6775,-113.0619,55.4,7,1,6.91,clear sky
231,Vardo,NO,70.3705,31.1107,19.4,79,90,18.41,snow
232,Feijo,BR,-8.1642,-70.3536,76.71,92,98,2.19,light rain
233,Westport,US,41.1415,-73.3579,30.2,86,20,4.61,few clouds
234,Bonthe,SL,7.5264,-12.505,79.16,84,31,5.86,scattered clouds
235,Geraldton,AU,-28.7667,114.6,71.6,73,75,13.8,broken clouds
236,Tomatlan,MX,19.9333,-105.25,76.35,68,1,6.26,clear sky
237,Zaykovo,RU,57.5613,62.7568,-3.68,88,100,9.91,overcast clouds
238,Inzer,RU,54.2167,57.5556,-8.86,86,100,9.82,overcast clouds
239,Aragarcas,BR,-15.8975,-52.2508,73.9,90,5,2.08,clear sky
240,Mahina,PF,-17.5065,-149.489,87.01,58,20,6.91,few clouds
241,Arucas,ES,28.1198,-15.5233,62.01,77,75,9.22,broken clouds
242,Kangaatsiaq,GL,68.3065,-53.4641,19.35,86,0,17.67,clear sky
243,Srednekolymsk,RU,67.45,153.6833,-8.72,82,85,3.74,overcast clouds
244,Lebu,CL,-37.6167,-73.65,59.25,92,35,1.3,scattered clouds
245,Matagami,CA,49.7502,-77.6328,3.2,72,90,6.91,overcast clouds
246,Airai,TL,-8.9266,125.4092,66.88,97,100,3.09,overcast clouds
247,San Angelo,US,31.4638,-100.437,66.99,27,1,4.61,clear sky
248,Belmonte,BR,-15.8631,-38.8828,78.8,83,40,8.05,scattered clouds
249,Terrenate,MX,19.4833,-97.9167,69.8,26,1,18.41,clear sky
250,Morgan City,US,29.6994,-91.2068,55.4,71,1,4.61,clear sky
251,Sorong,ID,-0.8833,131.25,81.86,78,99,6.87,overcast clouds
252,Beloha,MG,-25.1667,45.05,74.43,96,15,4.47,few clouds
253,Kendallville,US,41.4414,-85.265,10.4,78,90,8.05,overcast clouds
254,Martil,MA,35.6166,-5.2752,55.4,71,40,28.77,scattered clouds
255,Gafanha Da Encarnacao,PT,40.6181,-8.733,54.0,93,93,1.99,overcast clouds
